"","P607 - Nº Trabajadores","P639 - Años Funcionamiento","P640 - Método Contable","P978 - Smartphones","P1010 - Ingresos ($)","P1087 - PC Escritorio","P1088 - PC Portátil","P1559 - Redes Sociales","P2524 - Acceso a Internet","P2529 - Velocidad Internet","P2532 - Página Web","SECTOR - Sector Económico"
"25424",1,"1 a menos de 3 años","No lleva",0,8.1e+07,0,0,"No","No",NA,"No","Comercio"
"25425",3,"10 años o más","P o G o Balance General",0,4.2e+07,0,0,"No","No",NA,"No","Servicios"
"25426",1,"5 a menos de 10 años","Otro tipo de cuentas",0,3.6e+07,1,0,"No","Sí","4 MB o más","No","Industria"
"25427",2,"5 a menos de 10 años","No lleva",0,1.2e+07,0,0,"No","No",NA,"No","Comercio"
"25428",2,"1 a menos de 3 años","Libro de registro diario",0,27600000,5,6,"No","Sí","4 MB o más","No","Comercio"
"25429",3,"10 años o más","Otro tipo de cuentas",0,8.4e+07,1,0,"Sí","Sí","4 MB o más","Sí","Industria"
"25430",5,"10 años o más","Libro de registro diario",0,7.2e+07,1,0,"No","Sí","4 MB o más","No","Industria"
"25431",1,"1 a menos de 3 años","Libro de registro diario",0,4.2e+07,0,0,"No","No",NA,"No","Comercio"
"25432",1,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25433",1,"10 años o más","Otro tipo de cuentas",0,5.4e+07,0,0,"No","No",NA,"No","Servicios"
"25434",1,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25435",1,"10 años o más","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25436",1,"10 años o más","No lleva",0,10800000,0,0,"No","No",NA,"No","Comercio"
"25437",1,"10 años o más","Otro tipo de cuentas",0,1.2e+08,0,0,"No","No",NA,"No","Comercio"
"25438",1,"5 a menos de 10 años","No lleva",0,9600000,0,0,"No","No",NA,"No","Comercio"
"25439",1,"1 a menos de 3 años","No lleva",1,1.8e+07,0,0,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25440",1,"10 años o más","No lleva",0,13200000,0,0,"No","No",NA,"Sí","Servicios"
"25441",1,"10 años o más","No lleva",0,1.8e+07,0,0,"No","No",NA,"No","Comercio"
"25442",2,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Servicios"
"25443",2,"10 años o más","Otro tipo de cuentas",0,69120000,0,0,"No","No",NA,"No","Servicios"
"25444",3,"1 a menos de 3 años","No lleva",0,3.6e+07,1,0,"No","No",NA,"No","Comercio"
"25445",1,"3 a menos de 5 años","No lleva",0,1200000,0,0,"No","No",NA,"No","Servicios"
